timestamp,bandwidth,throughput,congestion,packet_loss,latency,jitter,Routers,Planned route,Network measure,Network target,Video target,Percentage video occupancy,Bitrate video,Number videos
2024-05-11 12:24:48,2,1.95,0.05,17.5,5.69,0.38,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:25:17,2,2.0,0.05,0.0,5.57,0.43,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:25:47,2,1.67,0.55,0.0,5.47,0.39,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:26:16,2,1.88,0.08,0.0,5.73,8.13,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:26:40,2,2.75,0.08,0.0,5.44,0.29,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:27:03,2,2.75,0.29,0.0,5.17,0.53,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:27:27,2,2.75,0.05,0.0,5.89,0.37,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:27:50,2,2.65,0.12,0.0,5.64,0.58,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:28:19,2,1.95,0.05,0.0,5.75,0.39,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:28:42,2,2.72,0.08,0.0,5.9,0.43,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:29:06,2,2.7,0.55,0.0,5.6,0.27,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:29:29,2,2.71,0.08,0.0,5.95,0.59,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:29:53,2,2.71,0.05,0.0,5.95,0.23,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:30:22,2,1.83,0.08,0.0,5.62,0.38,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:30:46,2,2.66,0.12,0.0,5.62,0.67,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:31:15,2,2.01,0.07,0.0,5.95,0.53,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:31:43,2,2.0,0.05,0.0,6.02,0.36,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:32:13,2,1.87,0.08,17.5,5.86,0.42,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:32:42,2,1.91,0.05,0.0,5.62,0.31,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:33:12,2,1.88,0.05,0.0,5.93,0.36,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:33:40,2,2.07,0.05,0.0,6.22,0.46,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:34:08,2,2.34,0.08,0.0,5.86,0.35,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:34:38,2,1.73,0.15,0.0,5.77,0.62,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:35:05,2,1.33,0.08,0.0,5.26,0.8,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:35:37,2,1.41,0.06,0.0,5.83,0.52,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:36:03,2,3.36,0.31,17.5,6.0,0.44,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:36:32,2,1.87,0.11,0.0,5.77,0.3,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:37:02,2,1.88,0.07,0.0,5.97,2.14,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:37:34,2,1.44,0.06,0.0,5.65,0.96,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:38:00,2,2.77,0.06,0.0,5.83,0.32,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:38:30,2,1.7,0.06,0.0,5.78,0.4,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:39:00,2,1.76,0.11,0.0,5.36,0.54,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:39:31,2,1.63,0.18,0.0,5.65,0.43,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:39:54,2,2.46,0.06,0.0,5.32,0.54,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:40:21,2,2.66,0.09,0.0,6.16,0.44,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:40:48,2,2.72,0.11,0.0,5.67,0.51,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:41:17,2,1.88,0.54,0.0,5.88,0.59,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:41:44,2,2.62,0.08,0.0,5.65,0.34,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:42:13,2,2.15,0.09,17.5,5.44,0.37,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:42:40,2,2.55,0.06,0.0,5.91,0.57,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:43:09,2,1.95,0.03,0.0,5.63,0.59,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:43:38,2,1.94,0.08,0.0,5.39,0.28,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:44:05,2,2.49,0.07,0.0,5.67,0.51,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:44:31,2,3.35,0.32,17.5,5.89,0.42,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:45:00,2,1.78,0.07,0.0,5.6,0.27,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:45:30,2,1.88,0.14,0.0,5.95,0.49,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 12:45:58,2,2.14,0.05,0.0,5.74,0.48,up xrv6,Best effort,S1,S2,,0,0,0
2024-05-11 13:04:12,2,1.61,0.12,0.0,6.78,0.51,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:04:39,2,2.52,0.11,0.0,7.14,0.44,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:05:03,2,2.69,0.1,0.0,7.91,0.32,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:05:34,2,1.58,0.09,0.0,7.53,0.5,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:05:58,2,2.57,0.07,0.0,7.2,0.8,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:06:29,2,1.58,0.14,0.0,7.3,0.85,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:06:53,2,2.37,0.57,0.0,7.56,0.57,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:07:16,2,2.73,0.07,0.0,7.47,0.54,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:07:44,2,2.39,0.11,0.0,7.37,0.65,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:08:13,2,1.99,0.07,0.0,6.83,0.5,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:08:43,2,1.71,0.07,0.0,6.95,0.66,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:09:11,2,2.08,0.05,0.0,7.17,0.37,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:09:38,2,2.78,0.15,0.0,7.26,0.27,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:10:05,2,2.58,0.05,0.0,7.62,0.35,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:10:32,2,2.41,0.07,0.0,13.75,6.65,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:10:56,2,2.73,0.05,0.0,7.12,2.3,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:11:19,2,2.69,0.07,0.0,7.05,0.88,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:11:46,2,2.57,0.56,0.0,7.94,0.71,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:12:10,2,2.48,0.09,0.0,7.26,0.66,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:12:38,2,2.24,0.17,0.0,7.05,0.57,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:13:07,2,1.97,0.08,0.0,7.14,0.5,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:13:34,2,2.77,0.12,0.0,7.48,0.51,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:14:01,2,2.31,0.08,0.0,6.96,0.64,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:14:25,2,2.45,0.07,0.0,7.36,0.44,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:14:50,2,2.23,0.08,12.5,7.46,0.94,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:15:19,2,2.03,0.07,12.5,7.72,0.88,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:15:45,2,2.78,0.07,0.0,7.2,0.28,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:16:13,2,2.35,0.07,0.0,8.03,0.52,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:16:37,2,2.43,0.13,0.0,7.74,0.59,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:17:06,2,1.98,0.53,15.0,7.16,0.75,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:17:35,2,2.12,0.51,0.0,7.02,0.51,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:18:04,2,1.83,0.51,0.0,7.55,0.4,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:18:31,2,2.58,0.07,0.0,7.38,0.45,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:19:01,2,1.94,0.1,0.0,7.66,0.44,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:19:24,2,2.73,0.06,0.0,8.6,0.34,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:19:51,2,2.41,0.08,0.0,7.47,0.39,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:20:19,2,2.5,0.1,0.0,7.27,0.55,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:20:45,2,2.66,0.08,0.0,7.63,0.66,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:21:14,2,2.04,0.08,0.0,8.26,0.47,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:21:44,2,1.86,0.06,0.0,7.49,0.67,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:22:10,2,2.61,0.06,0.0,7.84,3.67,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:22:37,2,2.79,0.39,0.0,7.25,0.34,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:23:04,2,2.49,0.07,0.0,8.36,0.37,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:23:30,2,3.35,0.09,10.0,7.36,0.45,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:23:54,2,2.64,0.07,0.0,7.77,0.66,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:24:17,2,2.71,0.07,0.0,7.67,0.58,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:24:44,2,2.71,0.05,0.0,7.09,0.58,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:25:15,2,1.57,0.32,0.0,7.24,0.28,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:25:45,2,1.88,0.07,15.0,7.66,0.73,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:26:13,2,2.17,0.12,0.0,6.73,0.72,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:26:40,2,2.66,0.07,0.0,8.12,0.49,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:27:07,2,2.59,0.55,0.0,7.19,0.4,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:27:36,2,1.95,0.06,0.0,7.31,0.69,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:28:00,2,2.45,0.09,0.0,7.68,0.91,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:28:28,2,2.21,0.07,0.0,7.52,0.53,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:29:00,2,1.43,0.08,0.0,7.27,0.51,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:29:30,2,1.83,0.08,0.0,7.39,1.16,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:29:56,2,2.71,0.05,0.0,7.05,0.4,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:30:27,2,1.57,0.06,0.0,7.87,0.4,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:30:58,2,1.71,0.12,17.5,7.09,0.4,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:31:22,2,2.73,0.07,0.0,7.01,0.57,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:31:48,2,2.72,0.06,0.0,6.69,0.41,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:32:18,2,1.89,0.07,0.0,7.19,0.63,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:32:45,2,2.58,0.11,0.0,7.62,0.53,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:33:17,2,1.39,0.03,0.0,6.93,1.17,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:33:47,2,1.75,0.05,0.0,8.02,0.67,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:34:15,2,2.17,0.08,0.0,9.07,0.36,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:34:45,2,1.89,0.11,0.0,7.98,0.53,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:35:14,2,1.94,0.08,0.0,6.92,0.66,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:35:42,2,2.36,0.11,17.5,7.31,0.65,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:36:06,2,2.63,0.08,0.0,7.11,0.53,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:36:35,2,1.84,0.05,0.0,7.38,0.38,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:37:04,2,2.05,0.03,0.0,6.9,0.59,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:37:33,2,1.9,0.53,0.0,6.76,0.51,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:38:02,2,2.09,0.09,0.0,7.49,0.39,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:38:25,2,2.65,0.27,0.0,6.97,0.55,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:38:51,2,3.22,0.08,0.0,7.57,0.28,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:39:19,2,2.32,0.05,0.0,7.19,1.22,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:39:48,2,1.84,0.11,0.0,7.23,1.04,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:40:15,2,2.7,0.08,0.0,7.09,0.53,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:40:44,2,1.85,0.07,0.0,7.24,0.41,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:41:12,2,2.55,0.03,0.0,7.19,0.32,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:41:42,2,1.7,0.05,0.0,7.29,0.4,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:42:06,2,2.44,0.06,0.0,7.01,0.53,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:42:29,2,2.7,0.12,0.0,7.42,0.78,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:42:59,2,1.72,0.11,0.0,6.6,0.37,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:43:28,2,2.18,0.11,0.0,7.38,0.6,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:43:57,2,1.95,0.09,0.0,7.15,0.86,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:44:24,2,2.35,0.08,0.0,6.81,8.35,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:44:53,2,2.0,0.11,0.0,7.46,0.51,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:45:26,2,1.38,0.05,0.0,7.33,0.3,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:45:50,2,2.46,0.1,0.0,7.41,0.61,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:46:18,2,2.09,0.05,0.0,7.23,0.57,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:46:46,2,2.22,0.1,0.0,7.77,0.95,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:47:15,2,2.12,0.06,0.0,7.44,0.34,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:47:41,2,2.75,0.05,0.0,7.48,0.62,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:48:05,2,2.75,0.07,0.0,7.42,0.55,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:48:31,2,2.75,0.07,0.0,7.05,0.82,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:48:58,2,2.43,0.07,0.0,7.09,0.83,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 13:49:28,2,1.89,0.07,0.0,6.63,0.54,up xrv6,Best effort,S1,S3,,0,0,0
2024-05-11 14:23:59,2,1.43,0.1,0.0,5.67,0.59,up xrv6,Best effort,S1,S2,S2,0,0,1
2024-05-11 14:24:30,2,1.62,0.08,0.0,5.64,0.4,up xrv6,Best effort,S1,S2,S2,0,0,1
2024-05-11 14:24:59,2,2.02,0.09,0.0,5.91,0.57,up xrv6,Best effort,S1,S2,S2,0,0,1
2024-05-11 14:25:27,2,2.06,0.09,0.0,6.99,0.22,up xrv6,Best effort,S1,S2,S2,0,0,1
2024-05-11 14:25:57,2,1.69,0.08,0.0,5.77,0.55,up xrv6,Best effort,S1,S2,S2,0,0,1
2024-05-11 14:26:28,2,1.58,0.09,0.0,6.52,0.45,up xrv6,Best effort,S1,S2,S2,0,0,1
2024-05-11 14:26:59,2,1.62,0.07,0.0,5.77,0.35,up xrv6,Best effort,S1,S2,S2,0,0,1
2024-05-11 14:27:29,2,1.99,0.08,17.5,6.2,0.28,up xrv6,Best effort,S1,S2,S2,0,0,1
2024-05-11 14:27:56,2,2.27,0.1,0.0,5.61,0.83,up xrv6,Best effort,S1,S2,S2,0,0,1
2024-05-11 14:28:26,2,1.9,13.07,0.0,4.58,0.62,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:28:54,2,2.18,15.91,0.0,5.57,2.42,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:29:24,2,1.69,14.63,0.0,6.3,0.42,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:29:48,2,2.46,6.6,0.0,5.79,0.35,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:30:16,2,2.16,5.89,0.0,5.91,0.61,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:30:44,2,2.29,6.75,17.5,5.72,0.46,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:31:13,2,1.92,6.75,0.0,5.43,1.69,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:31:37,2,2.49,11.42,0.0,5.98,0.52,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:32:04,2,2.64,10.04,0.0,5.77,0.7,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:32:27,2,2.73,14.32,5.0,5.6,0.42,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:32:52,2,2.42,14.17,15.0,6.02,0.49,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:33:20,2,2.15,13.01,0.0,5.55,0.35,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:33:52,2,1.47,14.48,7.5,5.59,0.71,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:34:15,2,3.03,15.36,0.0,4.95,0.64,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:34:47,2,1.51,13.8,0.0,5.72,0.3,up xrv6,Best effort,S1,S2,S2,10,167,1
2024-05-11 14:35:16,2,1.91,20.54,0.0,5.46,0.39,up xrv6,Best effort,S1,S2,S2,20,334,1
2024-05-11 14:35:45,2,2.01,20.16,7.5,6.25,0.35,up xrv6,Best effort,S1,S2,S2,20,334,1
2024-05-11 14:36:09,2,2.49,20.34,7.5,5.24,0.34,up xrv6,Best effort,S1,S2,S2,20,334,1
2024-05-11 14:36:41,2,1.43,10.55,0.0,5.29,0.44,up xrv6,Best effort,S1,S2,S2,20,334,1
2024-05-11 14:37:06,2,1.74,19.77,0.0,5.64,1.0,up xrv6,Best effort,S1,S2,S2,20,334,1
2024-05-11 14:37:31,2,3.3,19.9,0.0,5.57,0.38,up xrv6,Best effort,S1,S2,S2,20,334,1
2024-05-11 14:38:03,2,1.51,20.24,0.0,5.73,0.75,up xrv6,Best effort,S1,S2,S2,20,334,1
2024-05-11 14:38:34,2,1.63,20.39,0.0,5.16,0.36,up xrv6,Best effort,S1,S2,S2,20,334,1
2024-05-11 14:38:56,2,7.14,20.58,0.0,5.36,0.64,up xrv6,Best effort,S1,S2,S2,20,334,1
